r[m],potential[V]
3.020000000000000837e-07,4.922997026499194989e-02
3.030000000000000530e-07,4.922409899939314548e-02
3.040000000000000752e-07,4.921822773379434107e-02
3.050000000000000974e-07,4.920932574686286837e-02
3.060000000000000666e-07,4.920019848651568939e-02
3.070000000000000888e-07,4.919261882264344687e-02
3.080000000000000581e-07,4.918569755514864972e-02
3.090000000000000802e-07,4.917973968488574543e-02
3.100000000000001024e-07,4.917429812685296386e-02
3.110000000000000717e-07,4.916833584125732126e-02
3.120000000000000939e-07,4.916209170782960547e-02
3.130000000000000631e-07,4.915639923305131082e-02
3.140000000000000853e-07,4.915164072449956789e-02
3.150000000000000546e-07,4.914665687927113891e-02
3.160000000000000768e-07,4.914123544929137333e-02
3.170000000000000989e-07,4.913543312642585509e-02
3.180000000000000682e-07,4.912585303309355278e-02
3.190000000000000904e-07,4.911674293662134094e-02
3.200000000000000596e-07,4.911242366416281036e-02
3.210000000000000818e-07,4.910810439170427977e-02
3.220000000000000511e-07,4.910382402925432543e-02
3.230000000000000733e-07,4.909954411561178594e-02
3.240000000000000955e-07,4.909424462871723321e-02
3.250000000000000647e-07,4.908870535802176138e-02
3.260000000000000869e-07,4.908475596115074308e-02
3.270000000000000561e-07,4.908167175586058278e-02
3.280000000000000783e-07,4.907859389636545777e-02
